Sample01,Sample02,Sample03,Sample04,Sample05,Sample06,Sample07,Sample08,Sample09,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23
yqfL,yqfL,yqfL,yqfL,yqfL,yqfL,yqfL,yqfL,yqfL,yqfL,yqfL,dnaA,yqfL,yqfL,yqfL,yqfL,yqfL,yqfL,yqfL,yqfL,group_1905,yqfL,group_1905
trxA,trxA,trxA,trxA,trxA,trxA,trxA,trxA,trxA,trxA,trxA,group_777,trxA,trxA,trxA,trxA,trxA,trxA,trxA,trxA,group_994,trxA,group_994
btuD,btuD,btuD,btuD,btuD,btuD,btuD,btuD,btuD,btuD,btuD,group_1589,btuD,btuD,btuD,btuD,btuD,btuD,btuD,btuD,group_995,btuD,group_995
group_1263,group_1263,group_1263,group_1263,group_1263,group_1263,group_1263,group_1263,group_1263,group_1263,group_1263,group_312,group_1263,group_1263,group_1263,group_1263,group_1263,group_1263,group_1263,group_1263,group_996,group_1263,group_996
pyrK,pyrK,pyrK,pyrK,pyrK,pyrK,pyrK,pyrK,pyrK,pyrK,pyrK,group_1590,pyrK,pyrK,pyrK,pyrK,pyrK,pyrK,pyrK,pyrK,group_1906,pyrK,group_2922
group_393,group_393,group_393,group_393,group_393,group_393,group_393,group_393,group_393,group_393,group_393,group_313,group_393,group_393,group_393,group_393,group_393,group_393,group_393,group_393,group_1907,group_2448,group_1907
lpxA,lpxA,lpxA,lpxA,lpxA,lpxA,lpxA,lpxA,lpxA,lpxA,lpxA,group_1591,lpxA,lpxA,lpxA,lpxA,lpxA,lpxA,lpxA,lpxA,group_1908,lpxA,group_1908
fabZ,fabZ,fabZ,fabZ,fabZ,fabZ,fabZ,fabZ,fabZ,fabZ,fabZ,mdtL_1,fabZ,fabZ,fabZ,fabZ,fabZ,fabZ,fabZ,fabZ,group_997,fabZ,group_997
lpxD,lpxD,lpxD,lpxD,lpxD,lpxD,lpxD,lpxD,lpxD,lpxD,lpxD,group_778,lpxD,lpxD,lpxD,lpxD,lpxD,lpxD,lpxD,lpxD,group_998,lpxD,group_998
group_1266,group_1844,group_1844,group_1844,group_1844,group_1844,group_1266,group_1266,group_1266,group_1266,group_1266,ychF,group_1266,group_1266,group_1266,group_1266,group_1266,group_1266,group_1266,group_1266,group_1909,group_2449,group_2923
group_395,group_1266,group_1266,group_1266,group_1266,group_1266,group_395,group_395,group_395,group_395,group_395,group_1593,group_395,group_395,group_395,group_395,group_395,group_395,group_395,group_395,group_999,group_2450,group_999
group_396,group_395,group_395,group_395,group_395,group_395,group_944,group_944,group_944,group_944,group_944,group_780,group_944,group_944,group_944,group_944,group_944,group_944,group_944,group_944,group_1910,group_2451,group_2924
dusB,group_396,group_396,group_396,group_396,group_396,dusB,dusB,dusB,dusB,dusB,pth,dusB,dusB,dusB,dusB,dusB,dusB,dusB,dusB,group_1911,group_2452,group_2925
group_23,dusB,dusB,dusB,dusB,dusB,group_23,group_23,group_23,group_23,group_23,rplY,group_23,group_23,group_23,group_23,group_23,group_23,group_24,group_23,group_1912,group_944,group_2926
tsaE,group_25,group_25,group_25,group_25,group_25,group_25,group_25,group_25,group_25,group_25,group_1596,group_25,group_25,group_25,group_25,group_25,group_25,group_23,group_25,group_1913,group_2453,group_2927
group_398,tsaE,tsaE,tsaE,tsaE,tsaE,group_945,group_945,group_945,group_945,group_945,group_1597,group_945,group_945,group_945,group_945,group_945,group_945,group_25,group_945,group_1914,dusB,group_2928
cca,group_398,group_398,group_398,group_398,group_398,tsaE,tsaE,tsaE,tsaE,tsaE,queE,tsaE,tsaE,tsaE,tsaE,tsaE,tsaE,group_945,tsaE,group_1915,group_25,group_1030
group_42,cca,cca,cca,cca,cca,group_398,group_398,group_398,group_398,group_398,rpmI,group_398,group_398,group_398,group_398,group_398,group_398,tsaE,group_398,group_1916,group_945,group_1029
group_1268,group_42,group_42,group_42,group_42,group_42,cca,cca,cca,cca,cca,rplT,cca,cca,cca,cca,cca,cca,group_398,cca,group_1917,tsaE,group_1028
group_17,group_17,group_17,group_17,group_17,group_17,group_42,group_42,group_42,group_42,group_42,rpmH,group_42,group_42,group_42,group_42,group_42,group_42,cca,group_42,group_1918,group_398,group_1027
group_399,group_399,group_399,group_399,group_399,group_399,group_17,group_17,group_17,group_17,group_17,rnpA,group_17,group_17,group_17,group_17,group_17,group_17,group_42,group_17,group_1919,cca,group_1971
group_1269,group_1269,group_1269,group_1269,group_1269,group_1269,group_399,group_399,group_399,group_399,group_399,group_67,group_399,group_399,group_399,group_399,group_399,group_399,group_17,group_399,group_1920,group_42,group_2929
group_171,group_170,group_170,group_170,group_170,group_170,group_1269,group_1269,group_1269,group_1269,group_1269,group_785,group_1269,group_1269,group_1269,group_1269,group_1269,group_1269,group_399,group_1269,group_1921,group_43,group_2930
group_172,group_171,group_171,group_171,group_171,group_171,group_170,group_170,group_170,group_170,group_170,group_136,group_170,group_170,group_170,group_170,group_170,group_170,group_1269,group_170,carD,group_2454,ackA
group_80,group_1845,group_1845,group_1845,group_1845,group_1845,group_947,group_947,group_947,group_947,group_947,corA,group_947,group_947,group_947,group_947,group_947,group_947,group_170,group_947,group_1922,group_2455,group_1026
group_400,group_80,group_80,group_80,group_80,group_80,group_80,group_80,group_80,group_80,group_80,group_1600,group_80,group_80,group_80,group_80,group_80,group_80,group_947,group_80,group_1923,group_2456,group_2932
group_401,group_400,group_400,group_400,group_400,group_400,group_400,group_400,group_400,group_400,group_400,group_138,group_948,group_400,group_400,group_400,group_400,group_400,group_80,group_400,group_1000,group_80,group_1025
atpF_1,group_401,group_401,group_401,group_401,group_401,group_948,group_948,group_948,group_948,group_948,group_139,group_1838,group_948,group_948,group_948,group_948,group_948,group_400,group_948,group_1924,group_2457,group_1024
atpF_2,atpF_1,atpF_1,atpF_1,atpF_1,atpF_1,atpF_1,group_1838,group_1838,atpF_1,atpF_1,group_786,atpF_1,atpF_1,group_1838,group_1838,atpF_1,group_1838,group_948,group_1838,group_1001,group_948,group_2933
atpH_1,atpF_2,atpF_2,atpF_2,atpF_2,atpF_2,atpF_2,atpF_1,atpF_1,atpF_2,atpF_2,sasA_2,atpF_2,atpF_2,atpF_1,atpF_1,atpF_2,atpF_1,atpF_1,atpF_1,group_1925,atpF_1,group_2934
atpB,atpH_1,atpH_1,atpH_1,atpH_1,atpH_1,atpH_1,atpF_2,atpF_2,atpH_1,atpH_1,rpsU,atpH_1,atpH_1,atpF_2,atpF_2,atpH_1,atpF_2,atpF_2,atpF_2,group_1926,atpF_2,virB4_1
group_405,atpB,atpB,atpB,atpB,atpB,atpB,atpH_1,atpH_1,atpB,atpB,group_788,atpB,atpB,atpH_1,atpH_1,atpB,atpH_1,atpH_1,atpH_1,group_1002,atpH_1,group_1964
group_1271,group_405,group_405,group_405,group_405,group_405,group_405,atpB,atpB,group_405,group_405,group_789,group_405,group_405,atpB,atpB,group_405,atpB,atpB,atpB,group_1003,atpB,group_2935
carD,group_1271,group_1271,group_1271,group_1271,group_1271,group_1271,group_405,group_405,group_1271,group_1271,group_790,group_1271,group_1271,group_405,group_405,group_1271,group_405,group_405,group_405,group_1927,group_2458,group_2936
group_1272,carD,carD,carD,carD,carD,carD,group_1271,group_1271,carD,carD,group_1602,carD,carD,group_1271,group_1271,carD,group_1271,group_1271,group_1271,group_1928,group_2459,group_1962
group_81,group_1272,group_1272,group_1272,group_1272,group_1272,group_1272,carD,carD,group_1272,group_1272,ileS,group_1272,group_1272,carD,carD,group_1272,carD,carD,carD,group_1004,carD,group_2937
recF,group_81,group_81,group_81,group_81,group_81,group_81,group_1272,group_1272,group_81,group_81,group_1603,group_81,group_81,group_1272,group_1272,group_81,group_1272,group_1272,group_1272,rpsF,group_1272,group_2938
group_407,recF,recF,recF,recF,recF,recF,group_81,group_81,recF,recF,group_387,recF,recF,group_81,group_81,recF,group_81,group_81,group_81,rpsR,group_81,group_2939
group_408,group_407,group_407,group_407,group_407,group_407,group_407,recF,recF,group_407,group_407,cpoB_2,group_407,group_407,recF,recF,group_407,recF,recF,recF,group_1929,recF,group_1023
dhfR,group_408,group_408,group_408,group_408,group_408,group_408,group_407,group_407,group_408,group_408,accA1,group_408,group_408,group_407,group_407,group_408,group_407,group_407,group_407,group_1930,group_2460,group_1022
group_174,dhfR,dhfR,dhfR,dhfR,dhfR,dhfR,group_408,group_408,dhfR,dhfR,pccB,dhfR,dhfR,group_408,group_408,dhfR,group_408,group_408,group_408,ftsH,dhfR,group_2940
group_175,group_174,group_174,group_174,group_174,group_174,group_174,dhfR,dhfR,group_174,group_174,group_1605,group_174,group_174,dhfR,dhfR,group_174,dhfR,dhfR,dhfR,group_1005,group_2461,group_1021
group_1274,group_175,group_175,group_175,group_175,group_175,group_175,group_174,group_174,group_175,group_175,aas,group_175,group_175,group_174,group_174,group_175,group_174,group_174,group_174,group_1931,group_2462,group_2941
group_44,group_1274,group_1274,group_1274,group_1274,group_1274,group_1274,group_175,group_175,group_1274,group_1274,group_1606,group_1274,group_1274,group_175,group_175,group_1274,group_175,group_175,group_175,group_1006,group_174,group_2942
